marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,p_outcome,emp_var_rate,cons_price_idx,euribor_3m,deposit,job_categories,age_categories
married,unknown,0,0,telephone,may,monday,73,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,1,0,telephone,may,monday,230,1,0,unknown,4,2,5.0,0,management,50-60
divorced,basic_4y,0,0,telephone,may,monday,208,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,basic_4y,1,0,telephone,may,monday,336,1,0,unknown,4,2,5.0,0,unknown,50-60
married,high_school,0,0,telephone,may,monday,365,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_9y,1,0,telephone,may,monday,1666,1,0,unknown,4,2,5.0,0,technician,50-60
married,university_degree,1,0,telephone,may,monday,577,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_4y,1,0,telephone,may,monday,137,1,0,unknown,4,2,5.0,0,technician,50-60
unknown,university_degree,1,0,telephone,may,monday,366,1,0,unknown,4,2,5.0,0,management,50-60
married,high_school,1,0,telephone,may,monday,314,1,0,unknown,4,2,5.0,0,entrepreneur,30-50
single,professional_course,0,0,telephone,may,monday,160,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,1,telephone,may,monday,212,1,0,unknown,4,2,5.0,0,admin,50-60
married,university_degree,1,0,telephone,may,monday,188,1,0,unknown,4,2,5.0,0,admin,30-50
single,professional_course,0,0,telephone,may,monday,22,1,0,unknown,4,2,5.0,0,technician,30-50
married,university_degree,1,1,telephone,may,monday,616,1,0,unknown,4,2,5.0,0,admin,50-60
married,basic_9y,0,1,telephone,may,monday,178,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,university_degree,1,0,telephone,may,monday,355,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_9y,1,0,telephone,may,monday,225,2,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,160,1,0,unknown,4,2,5.0,0,admin,50-60
married,basic_4y,0,1,telephone,may,monday,266,1,0,unknown,4,2,5.0,0,housemaid,30-50
married,high_school,0,0,telephone,may,monday,253,1,0,unknown,4,2,5.0,0,admin,60-75
single,professional_course,0,0,telephone,may,monday,179,1,0,unknown,4,2,5.0,0,admin,50-60
married,basic_4y,0,0,telephone,may,monday,269,2,0,unknown,4,2,5.0,0,blue-collar,50-60
married,professional_course,1,0,telephone,may,monday,135,1,0,unknown,4,2,5.0,0,technician,50-60
married,university_degree,0,1,telephone,may,monday,161,1,0,unknown,4,2,5.0,0,management,50-60
married,high_school,1,0,telephone,may,monday,787,1,0,unknown,4,2,5.0,0,services,30-50
married,professional_course,1,1,telephone,may,monday,145,1,0,unknown,4,2,5.0,0,unemployed,50-60
single,university_degree,1,0,telephone,may,monday,174,1,0,unknown,4,2,5.0,0,technician,under_the_30
married,university_degree,0,0,telephone,may,monday,449,1,0,unknown,4,2,5.0,0,entrepreneur,30-50
married,basic_9y,1,0,telephone,may,monday,812,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,basic_6y,1,0,telephone,may,monday,164,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_6y,0,0,telephone,may,monday,366,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,357,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,0,telephone,may,monday,232,1,0,unknown,4,2,5.0,0,admin,30-50
single,basic_9y,1,0,telephone,may,monday,91,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,unknown,1,0,telephone,may,monday,273,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_9y,1,0,telephone,may,monday,158,2,0,unknown,4,2,5.0,0,admin,50-60
single,basic_4y,1,1,telephone,may,monday,177,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_6y,0,0,telephone,may,monday,200,1,0,unknown,4,2,5.0,0,management,30-50
divorced,university_degree,1,0,telephone,may,monday,172,1,0,unknown,4,2,5.0,0,management,30-50
married,university_degree,1,0,telephone,may,monday,176,1,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,0,0,telephone,may,monday,211,1,0,unknown,4,2,5.0,0,unknown,50-60
married,university_degree,1,0,telephone,may,monday,214,1,0,unknown,4,2,5.0,0,admin,30-50
divorced,basic_4y,1,0,telephone,may,monday,1575,1,0,unknown,4,2,5.0,1,blue-collar,30-50
married,university_degree,0,0,telephone,may,monday,349,1,0,unknown,4,2,5.0,0,technician,50-60
married,high_school,1,0,telephone,may,monday,337,2,0,unknown,4,2,5.0,0,services,30-50
married,unknown,1,0,telephone,may,monday,272,1,0,unknown,4,2,5.0,0,management,50-60
married,basic_9y,0,0,telephone,may,monday,208,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,1,0,telephone,may,monday,193,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,high_school,0,0,telephone,may,monday,165,2,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,1,0,telephone,may,monday,1042,1,0,unknown,4,2,5.0,1,entrepreneur,30-50
single,university_degree,0,1,telephone,may,monday,20,1,0,unknown,4,2,5.0,0,technician,30-50
divorced,high_school,0,0,telephone,may,monday,246,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_6y,0,0,telephone,may,monday,529,2,0,unknown,4,2,5.0,0,management,30-50
married,university_degree,1,1,telephone,may,monday,192,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_9y,0,0,telephone,may,monday,1467,1,0,unknown,4,2,5.0,1,technician,30-50
married,high_school,1,0,telephone,may,monday,188,2,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,1,0,telephone,may,monday,180,2,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,1,0,telephone,may,monday,48,1,0,unknown,4,2,5.0,0,unknown,50-60
married,unknown,0,1,telephone,may,monday,213,2,0,unknown,4,2,5.0,0,admin,60-75
married,basic_9y,0,0,telephone,may,monday,545,1,0,unknown,4,2,5.0,0,unemployed,30-50
married,basic_6y,0,1,telephone,may,monday,583,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,professional_course,1,0,telephone,may,monday,221,1,0,unknown,4,2,5.0,0,services,30-50
married,university_degree,0,0,telephone,may,monday,426,1,0,unknown,4,2,5.0,0,management,30-50
divorced,university_degree,0,0,telephone,may,monday,287,1,0,unknown,4,2,5.0,0,admin,50-60
single,professional_course,0,0,telephone,may,monday,197,1,0,unknown,4,2,5.0,0,technician,30-50
married,basic_6y,0,0,telephone,may,monday,257,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,unknown,1,0,telephone,may,monday,229,1,0,unknown,4,2,5.0,0,services,50-60
married,basic_4y,0,0,telephone,may,monday,55,3,0,unknown,4,2,5.0,0,blue-collar,30-50
married,unknown,0,0,telephone,may,monday,400,1,0,unknown,4,2,5.0,0,services,50-60
divorced,university_degree,0,0,telephone,may,monday,197,1,0,unknown,4,2,5.0,0,admin,50-60
divorced,university_degree,0,0,telephone,may,monday,190,1,0,unknown,4,2,5.0,0,admin,50-60
single,high_school,0,0,telephone,may,monday,21,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_6y,1,0,telephone,may,monday,300,2,0,unknown,4,2,5.0,0,housemaid,30-50
married,high_school,1,0,telephone,may,monday,123,2,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,1,0,telephone,may,monday,293,1,0,unknown,4,2,5.0,0,entrepreneur,30-50
married,unknown,1,1,telephone,may,monday,325,1,0,unknown,4,2,5.0,0,technician,30-50
divorced,university_degree,0,0,telephone,may,monday,514,1,0,unknown,4,2,5.0,0,retired,60-75
married,basic_4y,0,0,telephone,may,monday,849,2,0,unknown,4,2,5.0,0,unemployed,50-60
divorced,high_school,1,0,telephone,may,monday,194,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_9y,1,0,telephone,may,monday,212,2,0,unknown,4,2,5.0,0,blue-collar,50-60
married,university_degree,0,0,telephone,may,monday,337,2,0,unknown,4,2,5.0,0,management,30-50
married,high_school,0,0,telephone,may,monday,286,1,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,university_degree,0,0,telephone,may,monday,247,2,0,unknown,4,2,5.0,0,admin,50-60
divorced,unknown,1,0,telephone,may,monday,518,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,unknown,1,0,telephone,may,monday,364,1,0,unknown,4,2,5.0,0,admin,50-60
divorced,basic_4y,1,0,telephone,may,monday,178,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,1,0,telephone,may,monday,98,1,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,high_school,0,0,telephone,may,monday,439,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,139,1,0,unknown,4,2,5.0,0,services,30-50
married,high_school,1,0,telephone,may,monday,79,1,0,unknown,4,2,5.0,0,technician,30-50
married,university_degree,1,1,telephone,may,monday,175,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,1,telephone,may,monday,262,2,0,unknown,4,2,5.0,0,admin,30-50
married,basic_6y,0,0,telephone,may,monday,61,1,0,unknown,4,2,5.0,0,admin,50-60
divorced,professional_course,1,1,telephone,may,monday,78,1,0,unknown,4,2,5.0,0,technician,30-50
married,basic_4y,1,0,telephone,may,monday,102,2,0,unknown,4,2,5.0,0,retired,50-60
married,professional_course,1,0,telephone,may,monday,579,1,0,unknown,4,2,5.0,1,technician,30-50
married,basic_6y,1,1,telephone,may,monday,143,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,professional_course,0,0,telephone,may,monday,677,1,0,unknown,4,2,5.0,0,technician,30-50
married,unknown,1,0,telephone,may,monday,267,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_6y,1,0,telephone,may,monday,345,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,university_degree,0,0,telephone,may,monday,185,1,0,unknown,4,2,5.0,0,management,50-60
divorced,university_degree,0,0,telephone,may,monday,207,1,0,unknown,4,2,5.0,0,management,30-50
married,basic_4y,0,0,telephone,may,monday,69,2,0,unknown,4,2,5.0,0,housemaid,30-50
married,basic_4y,0,0,telephone,may,monday,100,2,0,unknown,4,2,5.0,0,blue-collar,50-60
married,high_school,1,0,telephone,may,monday,125,2,0,unknown,4,2,5.0,0,services,30-50
married,basic_9y,1,0,telephone,may,monday,461,1,0,unknown,4,2,5.0,1,blue-collar,30-50
single,university_degree,1,0,telephone,may,monday,240,1,0,unknown,4,2,5.0,0,unemployed,30-50
married,unknown,1,0,telephone,may,monday,70,1,0,unknown,4,2,5.0,0,management,50-60
married,university_degree,1,0,telephone,may,monday,193,1,0,unknown,4,2,5.0,0,management,30-50
married,basic_4y,1,0,telephone,may,monday,136,1,0,unknown,4,2,5.0,0,blue-collar,50-60
divorced,high_school,1,0,telephone,may,monday,73,1,0,unknown,4,2,5.0,0,unknown,30-50
married,basic_4y,1,0,telephone,may,monday,528,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,0,0,telephone,may,monday,541,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,high_school,1,0,telephone,may,monday,338,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,1,0,telephone,may,monday,163,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_4y,1,0,telephone,may,monday,87,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,basic_9y,0,0,telephone,may,monday,301,1,0,unknown,4,2,5.0,0,blue-collar,60-75
married,unknown,1,0,telephone,may,monday,46,1,0,unknown,4,2,5.0,0,entrepreneur,50-60
divorced,high_school,1,0,telephone,may,monday,52,1,0,unknown,4,2,5.0,0,services,30-50
married,unknown,0,0,telephone,may,monday,204,1,0,unknown,4,2,5.0,0,entrepreneur,50-60
married,unknown,1,1,telephone,may,monday,155,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,1,telephone,may,monday,98,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,unknown,1,0,telephone,may,monday,71,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,unknown,0,0,telephone,may,monday,243,1,0,unknown,4,2,5.0,0,blue-collar,50-60
single,professional_course,1,0,telephone,may,monday,186,2,0,unknown,4,2,5.0,0,technician,30-50
married,high_school,0,0,telephone,may,monday,579,2,0,unknown,4,2,5.0,0,services,50-60
single,university_degree,1,0,telephone,may,monday,165,2,0,unknown,4,2,5.0,0,management,under_the_30
single,basic_9y,1,1,telephone,may,monday,163,2,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,0,0,telephone,may,monday,46,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,0,0,telephone,may,monday,559,3,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,high_school,0,0,telephone,may,monday,2033,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_6y,0,0,telephone,may,monday,85,1,0,unknown,4,2,5.0,0,entrepreneur,30-50
married,high_school,1,1,telephone,may,monday,506,1,0,unknown,4,2,5.0,0,services,30-50
divorced,unknown,0,0,telephone,may,monday,114,2,0,unknown,4,2,5.0,0,admin,50-60
married,unknown,0,0,telephone,may,monday,114,2,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,university_degree,1,0,telephone,may,monday,843,2,0,unknown,4,2,5.0,0,management,50-60
married,high_school,0,1,telephone,may,monday,181,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,427,1,0,unknown,4,2,5.0,0,services,30-50
married,university_degree,1,1,telephone,may,monday,292,1,0,unknown,4,2,5.0,0,technician,30-50
single,university_degree,0,0,telephone,may,monday,192,1,0,unknown,4,2,5.0,0,admin,30-50
married,high_school,0,0,telephone,may,monday,93,3,0,unknown,4,2,5.0,0,services,30-50
married,basic_9y,0,0,telephone,may,monday,128,2,0,unknown,4,2,5.0,0,management,30-50
married,high_school,1,1,telephone,may,monday,107,1,0,unknown,4,2,5.0,0,services,30-50
single,basic_6y,0,0,telephone,may,monday,303,2,0,unknown,4,2,5.0,0,admin,50-60
married,high_school,1,0,telephone,may,monday,81,1,0,unknown,4,2,5.0,0,services,under_the_30
married,basic_9y,0,0,telephone,may,monday,270,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,228,1,0,unknown,4,2,5.0,0,technician,30-50
married,basic_6y,1,0,telephone,may,monday,240,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,1,telephone,may,monday,673,2,0,unknown,4,2,5.0,1,blue-collar,30-50
married,university_degree,1,0,telephone,may,monday,233,3,0,unknown,4,2,5.0,0,admin,30-50
married,basic_4y,0,0,telephone,may,monday,102,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,university_degree,0,0,telephone,may,monday,461,1,0,unknown,4,2,5.0,0,management,50-60
married,basic_6y,0,0,telephone,may,monday,250,1,0,unknown,4,2,5.0,0,technician,50-60
married,high_school,0,0,telephone,may,monday,130,1,0,unknown,4,2,5.0,0,retired,50-60
married,basic_4y,0,0,telephone,may,monday,252,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,university_degree,1,0,telephone,may,monday,138,1,0,unknown,4,2,5.0,0,admin,30-50
married,professional_course,0,0,telephone,may,monday,412,1,0,unknown,4,2,5.0,0,technician,30-50
single,basic_9y,1,0,telephone,may,monday,179,2,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,university_degree,0,0,telephone,may,monday,19,2,0,unknown,4,2,5.0,0,management,30-50
married,university_degree,0,0,telephone,may,monday,228,2,0,unknown,4,2,5.0,0,technician,30-50
single,basic_9y,1,0,telephone,may,monday,55,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,1,0,telephone,may,monday,717,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,1,0,telephone,may,monday,313,1,0,unknown,4,2,5.0,0,admin,30-50
single,basic_9y,0,0,telephone,may,monday,289,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,0,telephone,may,monday,683,2,0,unknown,4,2,5.0,0,admin,30-50
married,basic_6y,1,0,telephone,may,monday,1077,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,high_school,0,0,telephone,may,monday,146,2,0,unknown,4,2,5.0,0,services,30-50
single,basic_6y,0,0,telephone,may,monday,167,1,0,unknown,4,2,5.0,0,services,30-50
married,high_school,1,0,telephone,may,monday,356,2,0,unknown,4,2,5.0,0,blue-collar,30-50
married,unknown,0,0,telephone,may,monday,277,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_9y,1,0,telephone,may,monday,172,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,university_degree,0,0,telephone,may,monday,218,1,0,unknown,4,2,5.0,0,student,30-50
single,university_degree,1,1,telephone,may,monday,217,1,0,unknown,4,2,5.0,0,student,30-50
married,professional_course,0,0,telephone,may,monday,67,1,0,unknown,4,2,5.0,0,unemployed,30-50
single,basic_4y,0,0,telephone,may,monday,291,1,0,unknown,4,2,5.0,0,services,30-50
single,university_degree,1,0,telephone,may,monday,248,1,0,unknown,4,2,5.0,0,student,30-50
single,basic_9y,1,0,telephone,may,monday,256,1,0,unknown,4,2,5.0,0,student,30-50
divorced,university_degree,0,0,telephone,may,monday,286,1,0,unknown,4,2,5.0,0,housemaid,50-60
married,university_degree,0,0,telephone,may,monday,477,1,0,unknown,4,2,5.0,0,admin,50-60
married,unknown,0,0,telephone,may,monday,611,2,0,unknown,4,2,5.0,0,retired,50-60
married,professional_course,1,0,telephone,may,monday,471,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,1,0,telephone,may,monday,381,2,0,unknown,4,2,5.0,0,housemaid,30-50
single,unknown,1,0,telephone,may,monday,251,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,unknown,1,1,telephone,may,monday,408,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,0,0,telephone,may,monday,287,1,0,unknown,4,2,5.0,0,housemaid,50-60
married,high_school,0,0,telephone,may,monday,322,3,0,unknown,4,2,5.0,0,services,30-50
married,high_school,1,0,telephone,may,monday,216,2,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,0,0,telephone,may,monday,366,2,0,unknown,4,2,5.0,0,technician,30-50
single,basic_6y,1,0,telephone,may,monday,210,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_4y,1,0,telephone,may,monday,288,1,0,unknown,4,2,5.0,0,technician,30-50
married,basic_9y,0,0,telephone,may,monday,168,1,0,unknown,4,2,5.0,0,technician,30-50
married,university_degree,0,0,telephone,may,monday,132,1,0,unknown,4,2,5.0,0,retired,50-60
married,university_degree,0,0,telephone,may,monday,64,2,0,unknown,4,2,5.0,0,technician,30-50
single,university_degree,0,0,telephone,may,monday,209,2,0,unknown,4,2,5.0,0,admin,30-50
married,basic_4y,0,0,telephone,may,monday,410,3,0,unknown,4,2,5.0,0,retired,30-50
married,basic_4y,1,1,telephone,may,monday,177,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,professional_course,1,0,telephone,may,monday,580,2,0,unknown,4,2,5.0,0,admin,30-50
divorced,professional_course,1,0,telephone,may,monday,165,1,0,unknown,4,2,5.0,0,services,50-60
divorced,basic_4y,1,0,telephone,may,monday,127,2,0,unknown,4,2,5.0,0,management,30-50
married,high_school,0,0,telephone,may,monday,357,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,0,telephone,may,monday,175,1,0,unknown,4,2,5.0,0,self-employed,50-60
married,professional_course,1,0,telephone,may,monday,300,1,0,unknown,4,2,5.0,0,admin,30-50
married,basic_4y,0,0,telephone,may,monday,136,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,high_school,0,0,telephone,may,monday,125,2,0,unknown,4,2,5.0,0,admin,30-50
married,high_school,0,1,telephone,may,monday,189,2,0,unknown,4,2,5.0,0,services,30-50
married,university_degree,0,1,telephone,may,monday,213,3,0,unknown,4,2,5.0,0,management,30-50
married,high_school,0,0,telephone,may,monday,238,2,0,unknown,4,2,5.0,0,retired,50-60
single,professional_course,0,0,telephone,may,monday,124,1,0,unknown,4,2,5.0,0,technician,30-50
married,university_degree,1,0,telephone,may,monday,18,1,0,unknown,4,2,5.0,0,management,30-50
single,basic_9y,0,0,telephone,may,monday,730,2,0,unknown,4,2,5.0,0,services,30-50
married,university_degree,0,0,telephone,may,monday,40,1,0,unknown,4,2,5.0,0,technician,30-50
divorced,unknown,0,0,telephone,may,monday,181,2,0,unknown,4,2,5.0,0,services,30-50
single,professional_course,0,0,telephone,may,monday,79,1,0,unknown,4,2,5.0,0,technician,30-50
single,high_school,1,0,telephone,may,monday,142,2,0,unknown,4,2,5.0,0,technician,30-50
single,high_school,0,1,telephone,may,monday,389,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,high_school,0,0,telephone,may,monday,702,1,0,unknown,4,2,5.0,0,services,30-50
divorced,professional_course,0,0,telephone,may,monday,151,1,0,unknown,4,2,5.0,0,technician,30-50
married,basic_4y,1,0,telephone,may,monday,211,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_6y,1,0,telephone,may,monday,117,1,0,unknown,4,2,5.0,0,services,50-60
married,professional_course,1,0,telephone,may,monday,232,3,0,unknown,4,2,5.0,0,technician,30-50
married,unknown,0,0,telephone,may,monday,408,2,0,unknown,4,2,5.0,0,services,under_the_30
married,high_school,1,1,telephone,may,monday,370,3,0,unknown,4,2,5.0,0,services,50-60
married,basic_9y,1,0,telephone,may,monday,179,2,0,unknown,4,2,5.0,0,blue-collar,50-60
married,basic_9y,0,1,telephone,may,monday,46,1,0,unknown,4,2,5.0,0,management,30-50
married,unknown,1,0,telephone,may,monday,200,1,0,unknown,4,2,5.0,0,technician,30-50
married,high_school,0,1,telephone,may,monday,50,1,0,unknown,4,2,5.0,0,admin,30-50
married,high_school,0,1,telephone,may,monday,181,1,0,unknown,4,2,5.0,0,admin,30-50
married,high_school,0,0,telephone,may,monday,361,1,0,unknown,4,2,5.0,0,technician,30-50
divorced,basic_9y,0,0,telephone,may,monday,73,3,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,0,telephone,may,monday,67,2,0,unknown,4,2,5.0,0,admin,30-50
single,basic_6y,0,0,telephone,may,monday,350,1,0,unknown,4,2,5.0,0,blue-collar,under_the_30
single,university_degree,1,0,telephone,may,monday,150,2,0,unknown,4,2,5.0,0,self-employed,30-50
single,university_degree,0,0,telephone,may,monday,332,2,0,unknown,4,2,5.0,0,student,30-50
divorced,university_degree,0,0,telephone,may,monday,611,2,0,unknown,4,2,5.0,0,management,50-60
married,basic_4y,0,0,telephone,may,monday,58,3,0,unknown,4,2,5.0,0,self-employed,30-50
married,high_school,1,0,telephone,may,monday,151,1,0,unknown,4,2,5.0,0,unemployed,50-60
divorced,university_degree,0,0,telephone,may,monday,89,2,0,unknown,4,2,5.0,0,management,30-50
married,basic_9y,0,0,telephone,may,monday,152,1,0,unknown,4,2,5.0,0,housemaid,30-50
single,high_school,0,0,telephone,may,monday,611,2,0,unknown,4,2,5.0,0,admin,30-50
single,high_school,1,1,telephone,may,monday,110,2,0,unknown,4,2,5.0,0,housemaid,30-50
married,basic_9y,0,0,telephone,may,monday,463,1,0,unknown,4,2,5.0,0,blue-collar,50-60
married,high_school,0,0,telephone,may,monday,962,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_4y,0,0,telephone,may,monday,102,2,0,unknown,4,2,5.0,0,blue-collar,50-60
single,basic_9y,0,0,telephone,may,monday,10,4,0,unknown,4,2,5.0,0,technician,30-50
married,professional_course,0,0,telephone,may,monday,118,3,0,unknown,4,2,5.0,0,retired,50-60
married,basic_6y,0,0,telephone,may,monday,92,2,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_4y,1,0,telephone,may,monday,143,3,0,unknown,4,2,5.0,0,technician,50-60
married,basic_9y,0,0,telephone,may,monday,189,3,0,unknown,4,2,5.0,0,admin,50-60
married,basic_9y,1,0,telephone,may,monday,75,2,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,basic_9y,1,0,telephone,may,monday,189,2,0,unknown,4,2,5.0,0,blue-collar,30-50
divorced,basic_6y,0,0,telephone,may,monday,55,2,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,0,telephone,may,monday,935,3,0,unknown,4,2,5.0,1,housemaid,30-50
single,high_school,1,1,telephone,may,monday,56,2,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,1,0,telephone,may,monday,5,2,0,unknown,4,2,5.0,0,blue-collar,60-75
married,high_school,0,0,telephone,may,monday,225,2,0,unknown,4,2,5.0,0,services,30-50
